Continent,Country,Population
Asia,China,1367645161.2903225
Asia,India,1276730769.2307692
Asia,Iran,
Asia,Japan,127409395.97315437
Asia,South Korea,49805429.864253394
Australia,Australia,23316017.316017315
Europe,France,63837349.39759036
Europe,Germany,80369696.96969697
Europe,Italy,59908256.880733944
Europe,Russian Federation,143500000.0
Europe,Spain,46443396.2264151
Europe,United Kingdom,63870967.741935484
North America,Canada,35239864.86486486
North America,United States,317615384.61538464
South America,Brazil,205915254.23728815
